,Value,Date
0,0.125,2017-03-02
1,-0.009,2017-03-03
2,-0.3832,2017-03-04
3,0.1771,2017-03-05
4,-0.1986,2017-03-06
5,0.2893,2017-03-07
6,-0.4378,2017-03-08
7,0.0678,2017-03-09
8,-0.7038,2017-03-10
9,-0.9453,2017-03-11
10,-0.5335,2017-03-12
11,-0.4738,2017-03-13
12,-0.0897,2017-03-14
13,-1.6232,2017-03-15
14,-1.1977,2017-03-16
15,-1.0435,2017-03-17
16,-0.3182,2017-03-18
17,-0.749,2017-03-19
18,-0.5583,2017-03-20
19,-0.5365,2017-03-21
20,-2.6667,2017-03-22
21,-2.1347,2017-03-23
22,-1.5619,2017-03-24
23,-1.6117,2017-03-25
24,-0.2767,2017-03-26
25,-0.561,2017-03-27
26,-0.306,2017-03-28
27,-0.1008,2017-03-29
28,0.4659,2017-03-30
29,0.365,2017-03-31
30,0.0743,2017-04-01
31,-0.7604,2017-04-02
32,-0.6108,2017-04-03
33,-0.4503,2017-04-04
34,0.0454,2017-04-05
35,0.457,2017-04-06
36,0.0889,2017-04-07
37,-1.2303,2017-04-08
38,-0.1553,2017-04-09
39,-0.1874,2017-04-10
40,-0.5865,2017-04-11
41,-0.276,2017-04-12
42,0.2069,2017-04-13
43,-0.6859,2017-04-14
44,-0.2654,2017-04-15
45,0.3797,2017-04-16
46,-1.7804,2017-04-17
47,-0.9849,2017-04-18
48,-1.5748,2017-04-19
49,0.2959,2017-04-20
50,-1.1659,2017-04-21
51,-1.7216,2017-04-22
52,-1.3955,2017-04-23
53,-3.8169,2017-04-24
54,-1.0397,2017-04-25
55,-0.4887,2017-04-26
56,-2.7152,2017-04-27
57,-0.332,2017-04-28
58,-0.5342,2017-04-29
59,-0.9495,2017-04-30
60,-0.145,2017-05-01
61,-0.1298,2017-05-02
62,0.3669,2017-05-03
63,-0.1701,2017-05-04
64,-0.0169,2017-05-05
65,-0.5505,2017-05-06
66,-0.8008,2017-05-07
67,-0.4469,2017-05-08
68,-1.6289,2017-05-09
69,-0.469,2017-05-10
70,0.2489,2017-05-11
71,-3.3634,2017-05-12
72,-4.0561,2017-05-13
73,-4.249,2017-05-14
74,-4.6417,2017-05-15
75,-5.0687,2017-05-16
76,-3.7267,2017-05-17
77,-2.65,2017-05-18
78,-3.8474,2017-05-19
79,-2.5111,2017-05-20
80,-1.5042,2017-05-21
81,-0.8565,2017-05-22
82,-1.0532,2017-05-23
83,-0.2798,2017-05-24
84,-0.9018,2017-05-25
85,-1.3107,2017-05-26
86,-2.3506,2017-05-27
87,0.0764,2017-05-28
88,-0.2688,2017-05-29
89,-0.9608,2017-05-30
90,-2.069,2017-05-31
91,-0.778,2017-06-01
92,-0.864,2017-06-02
93,-0.5646,2017-06-03
94,-0.1318,2017-06-04
95,-0.0688,2017-06-05
96,-0.2053,2017-06-06
97,-0.0024,2017-06-07
98,0.0362,2017-06-08
99,-0.3686,2017-06-09
100,-0.6245,2017-06-10
101,0.1323,2017-06-11
102,0.0037,2017-06-12
103,0.2389,2017-06-13
104,-0.6838,2017-06-14
105,-0.0209,2017-06-15
106,-0.4895,2017-06-16
107,-0.0922,2017-06-17
108,0.0375,2017-06-18
109,-0.6178,2017-06-19
110,-0.2432,2017-06-20
111,-0.059,2017-06-21
112,-0.6858,2017-06-22
113,-1.4777,2017-06-23
114,-1.1234,2017-06-24
115,-0.7478,2017-06-25
116,-0.4072,2017-06-26
117,-3.4229,2017-06-27
118,-3.8186,2017-06-28
119,-2.9945,2017-06-29
120,-3.4466,2017-06-30
121,-1.1942,2017-07-01
122,-0.847,2017-07-02
123,-0.7588,2017-07-03
124,-0.4614,2017-07-04
125,-3.6083,2017-07-05
126,-2.6162,2017-07-06
127,-0.6422,2017-07-07
128,-0.3049,2017-07-08
129,-2.0426,2017-07-09
130,-1.8526,2017-07-10
131,-3.51,2017-07-11
132,-0.281,2017-07-12
133,-0.075,2017-07-13
134,-0.6018,2017-07-14
135,-1.0911,2017-07-15
136,-0.8793,2017-07-16
137,-0.4426,2017-07-17
138,-0.7731,2017-07-18
139,-0.007,2017-07-19
140,-1.9712,2017-07-20
141,-1.0815,2017-07-21
142,-0.4945,2017-07-22
143,-0.6172,2017-07-23
144,-1.2303,2017-07-24
145,-0.2542,2017-07-25
146,-1.3253,2017-07-26
147,-2.0448,2017-07-27
148,-2.5466,2017-07-28
149,-1.07,2017-07-29
150,-0.8273,2017-07-30
151,-0.5794,2017-07-31
152,-0.5138,2017-08-01
153,-0.2778,2017-08-02
154,-1.3751,2017-08-03
155,-1.8751,2017-08-04
156,-1.7597,2017-08-05
157,-1.525,2017-08-06
158,-1.2058,2017-08-07
159,-3.7309,2017-08-08
160,-0.819,2017-08-09
161,-0.0575,2017-08-10
162,-1.062,2017-08-11
163,-1.5175,2017-08-12
164,-0.8799,2017-08-13
165,-0.7023,2017-08-14
166,-0.9942,2017-08-15
167,-0.4149,2017-08-16
168,-0.7306,2017-08-17
169,-0.4703,2017-08-18
170,-0.8883,2017-08-19
171,-0.2235,2017-08-20
172,-0.3296,2017-08-21
173,-0.242,2017-08-22
174,-0.003,2017-08-23
175,-0.4897,2017-08-24
176,-0.9948,2017-08-25
177,-0.8601,2017-08-26
178,0.2263,2017-08-27
179,0.4288,2017-08-28
180,-0.0009,2017-08-29
181,0.0645,2017-08-30
182,-0.3269,2017-08-31
183,-0.0562,2017-09-01
184,-0.4476,2017-09-02
185,-0.1262,2017-09-03
186,-0.8271,2017-09-04
187,-1.1802,2017-09-05
188,-0.0432,2017-09-06
189,-0.1073,2017-09-07
190,-0.7396,2017-09-08
191,-0.6363,2017-09-09
192,-0.3766,2017-09-10
193,-0.7395,2017-09-11
194,-1.383,2017-09-12
195,-1.2704,2017-09-13
196,-1.1582,2017-09-14
197,-1.4285,2017-09-15
198,-0.8659,2017-09-16
199,-0.0285,2017-09-17
200,-0.7306,2017-09-18
201,-1.5499,2017-09-19
202,-0.6956,2017-09-20
203,-0.1449,2017-09-21
204,-0.85,2017-09-22
205,-0.4037,2017-09-23
206,0.4498,2017-09-24
207,-0.754,2017-09-25
208,-0.0818,2017-09-26
209,-0.2932,2017-09-27
210,-0.1269,2017-09-28
211,-2.4645,2017-09-29
212,-1.2111,2017-09-30
213,-1.2626,2017-10-01
214,-0.493,2017-10-02
215,0.0613,2017-10-03
216,-1.9394,2017-10-04
217,-0.4069,2017-10-05
218,0.8138,2017-10-06
219,-0.4915,2017-10-07
220,-0.1307,2017-10-08
221,-0.3339,2017-10-09
222,-0.5753,2017-10-10
223,-0.8759,2017-10-11
224,-0.4611,2017-10-12
225,-0.3267,2017-10-13
226,-0.0584,2017-10-14
227,-0.5274,2017-10-15
228,-0.2824,2017-10-16
229,-1.0804,2017-10-17
230,-0.7361,2017-10-18
231,-1.0918,2017-10-19
232,-0.6859,2017-10-20
233,-0.9291,2017-10-21
234,-0.533,2017-10-22
235,-0.3628,2017-10-23
236,-0.0927,2017-10-24
237,-0.4246,2017-10-25
238,0.1319,2017-10-26
239,-0.1,2017-10-27
240,0.0693,2017-10-28
241,-0.3782,2017-10-29
242,-0.486,2017-10-30
243,-0.4387,2017-10-31
244,-0.3101,2017-11-01
245,-0.6048,2017-11-02
246,-0.8058,2017-11-03
247,-2.3534,2017-11-04
248,-0.8349,2017-11-05
249,-0.3468,2017-11-06
250,-0.0685,2017-11-07
251,-0.6736,2017-11-08
252,-0.5267,2017-11-09
253,-0.3918,2017-11-10
254,-0.5867,2017-11-11
255,-0.6633,2017-11-12
256,-1.2978,2017-11-13
257,-0.525,2017-11-14
258,-0.6141,2017-11-15
259,-0.1528,2017-11-16
260,-0.4782,2017-11-17
261,-0.5285,2017-11-18
262,-0.0984,2017-11-19
263,-0.041,2017-11-20
264,-3.4597,2017-11-21
265,-1.4237,2017-11-22
266,0.0894,2017-11-23
267,-0.22,2017-11-24
268,-0.1033,2017-11-25
269,-0.0837,2017-11-26
270,-0.656,2017-11-27
271,-0.3818,2017-11-28
272,-0.8397,2017-11-29
273,-0.8412,2017-11-30
274,-0.5931,2017-12-01
275,-0.5931,2017-12-02
276,-0.5931,2017-12-03
277,-1.2409,2017-12-04
278,-0.4848,2017-12-05
279,-1.3238,2017-12-06
280,-1.5172,2017-12-07
281,-0.9695,2017-12-08
282,-0.2099,2017-12-09
283,-0.6217,2017-12-10
284,-0.865,2017-12-11
285,-0.6091,2017-12-12
286,-1.3471,2017-12-13
287,-0.8834,2017-12-14
288,-1.936,2017-12-15
289,-1.076,2017-12-16
290,-0.5726,2017-12-17
291,-0.5986,2017-12-18
292,-1.9421,2017-12-19
293,-1.2384,2017-12-20
294,-0.6561,2017-12-21
295,-1.1141,2017-12-22
296,-1.4024,2017-12-23
297,-1.1893,2017-12-24
298,-0.6494,2017-12-25
299,-0.7486,2017-12-26
300,-0.6324,2017-12-27
301,-1.1375,2017-12-28
302,-1.3585,2017-12-29
303,-1.3361,2017-12-30
304,-0.8035,2017-12-31
305,-0.9533,2018-01-01
306,-0.7069,2018-01-02
307,-0.5379,2018-01-03
308,-0.7041,2018-01-04
309,-0.6998,2018-01-05
310,-0.7385,2018-01-06
311,-1.0306,2018-01-07
312,-0.6027,2018-01-08
313,-0.6916,2018-01-09
314,-0.3721,2018-01-10
315,-1.4309,2018-01-11
316,-0.981,2018-01-12
317,-1.1525,2018-01-13
318,-0.4068,2018-01-14
319,-0.8509,2018-01-15
320,-1.1962,2018-01-16
321,-1.2064,2018-01-17
322,-1.3859,2018-01-18
323,-0.8902,2018-01-19
324,-1.1331,2018-01-20
325,-0.3889,2018-01-21
326,-0.3405,2018-01-22
327,-0.8932,2018-01-23
328,-0.2469,2018-01-24
329,-0.3973,2018-01-25
330,-0.5934,2018-01-26
331,-1.5711,2018-01-27
332,-1.0075,2018-01-28
333,-1.4028,2018-01-29
334,-0.8523,2018-01-30
